src,url
od,https://www.kaggle.com/datasets/marycamilainfo/prompt-injection-malignant
od,https://www.kaggle.com/datasets/sandeepnambiar02/prompts-dataset-9
hf,https://huggingface.co/datasets/deepset/prompt-injections
hf,https://huggingface.co/datasets/Lakera/mosscap_prompt_injection
hf,https://huggingface.co/datasets/reshabhs/SPML_Chatbot_Prompt_Injection
hf,https://huggingface.co/datasets/JasperLS/prompt-injections
hf,https://huggingface.co/datasets/predictionguard/promptinjections
hf,https://huggingface.co/datasets/synapsecai/synthetic-prompt-injections
hf,https://huggingface.co/datasets/Harelix/Prompt-Injection-Mixed-Techniques-2024
hf,https://huggingface.co/datasets/beratcmn/turkish-prompt-injections
hf,https://huggingface.co/datasets/cgoosen/prompt_injection_ctf_dataset_2
hf,https://huggingface.co/datasets/cgoosen/prompt_injection_password_or_secret
hf,https://huggingface.co/datasets/evreny/prompt_injection_tr
hf,https://huggingface.co/datasets/imoxto/prompt_injection_cleaned_dataset
hf,https://huggingface.co/datasets/imoxto/prompt_injection_cleaned_dataset-v2
hf,https://huggingface.co/datasets/imoxto/prompt_injection_hackaprompt_gpt35
hf,https://huggingface.co/datasets/ivanleomk/prompt_injection_password
hf,https://huggingface.co/datasets/yanismiraoui/prompt_injections
hf,https://huggingface.co/datasets/deadbits/vigil-jailbreak-all-mpnet-base-v2
hf,https://huggingface.co/datasets/rubend18/ChatGPT-Jailbreak-Prompts
hf,https://huggingface.co/datasets/JailbreakV-28K/JailBreakV-28k
hf,https://huggingface.co/datasets/jackhhao/jailbreak-classification
hf,https://huggingface.co/datasets/markush1/LLM-Jailbreak-Classifier
hf,https://huggingface.co/datasets/deadbits/vigil-jailbreak-ada-002
hf,https://huggingface.co/datasets/deadbits/vigil-jailbreak-all-MiniLM-L6-v2
hf,https://huggingface.co/datasets/innodatalabs/rt-inod-jailbreaking
hf,https://huggingface.co/datasets/ShawnMenz/jailbreak_sft_rm_ds
hf,https://huggingface.co/datasets/cstnz/Disaster-tweet-jailbreaking
hf,https://huggingface.co/datasets/markush1/LLM-Jailbreak-Classifier-Large
hf,https://huggingface.co/datasets/deadbits/vigil-instruction-bypass-all-mpnet-base-v2
hf,https://huggingface.co/datasets/Lakera/gandalf_ignore_instructions
hf,https://huggingface.co/datasets/Lakera/gandalf_summarization
hf,https://huggingface.co/datasets/hackaprompt/hackaprompt-dataset
hf,https://huggingface.co/datasets/qxcv/tensor-trust
hf,https://huggingface.co/datasets/allenai/WildChat-1M
hf,https://huggingface.co/datasets/nvidia/Aegis-AI-Content-Safety-Dataset-1.0
hf,https://huggingface.co/datasets/Anthropic/hh-rlhf
hf,https://huggingface.co/datasets/lmsys/lmsys-chat-1m
hf,https://huggingface.co/datasets/lmsys/toxic-chat
hf,https://huggingface.co/datasets/mcj311/saladbench_data
hf,https://huggingface.co/datasets/OpenSafetyLab/Salad-Data
hf,https://huggingface.co/datasets/DAMO-NLP-SG/MultiJail
hf,https://huggingface.co/datasets/openbmb/UltraSafety
hf,https://huggingface.co/datasets/tastypear/lmsys-chat-lewd-minimal
hf,https://huggingface.co/datasets/ethz-spylab/hh-harmless-train-with-rewards
hf,https://huggingface.co/datasets/deadbits/vigil-instruction-bypass-ada-002
hf,https://huggingface.co/datasets/SammySpace/fifty
hf,https://huggingface.co/datasets/re-align/just-eval-instruct
hf,https://huggingface.co/datasets/aurora-m/biden-harris-redteam
hf,https://huggingface.co/datasets/dynamoai/dynamoai-benchmark-toxicity-subset
hf,https://huggingface.co/datasets/MetalZuna/System_Prompts
hf,https://huggingface.co/datasets/THUDM/LongBench
web,https://raw.githubusercontent.com/CyberAlbSecOP/Awesome_GPT_Super_Prompting/main/Latest%20Jailbreaks/Apex.md